
   Id ProcessName                   CPU StartTime         
   -- -----------                   --- ---------         
28940 AacAmbientLighting    1666.265625 2026/8/28 11:53:57
30272 WorkBuddy               1635.4375 2026/8/28 23:22:33
 8120 WorkBuddy             1181.515625 2026/8/28 23:22:38
15172 HYPHelper              311.421875 2026/8/29 1:45:18 
 9384 HipsTray               293.765625 2026/8/28 11:54:07
14272 AcPowerNotification     250.90625 2026/8/28 11:53:37
24712 wetype_update           209.40625 2026/8/28 11:53:49
13784 nvcontainer             200.46875 2026/8/28 11:53:37
10712 OneDrive.Sync.Service   185.65625 2026/8/28 11:54:11
27672 asus_framework         185.578125 2026/8/28 11:53:54
18084 nvsphelper64           184.046875 2026/8/28 11:53:39
15856 HYPHelper              171.984375 2026/8/29 1:45:18 
 3136 explorer                 155.5625 2026/8/28 11:53:38
18396 CrossDeviceService            144 2026/8/28 11:53:39
 2620 WorkBuddy               138.65625 2026/8/28 23:22:38


